Villain,Year first,Year last,Doc. no.,Doctor actor,Epi- sodes,"Stories, total","Motivation (invasion earth, kill humans, etc)",Story titles
"Mara (the), (Dukkha)",1982,1983,5,Peter Davison,8,2,Feeds off fear,"Kinda, Snakedance"
Omega,1972,1983,"1,2,3,5","William Hartnell, Patrick Troughton, Jon Pertwee, Peter Davison",8,2,Revenge,"The Three Doctors, Arc of Infinity"
Meddling Monk (the),1965,1966,1,William Hartnell,8,2,Interfere with history,"The Time Meddler, The Daleks' Master Plan"
Sea Devils,1972,1984,"3,5","Jon Pertwee, Peter Davison",10,2,Capture the Doctor,"The Sea Devils, Warriors of the Deep"
Ogrons ,1972,1973,3,Jon Pertwee,10,2,Serve big bad,"Day of the Daleks, Frontier in Space"
Goth (Gothaparduskerialldrapolatkh),1969,1976,"2,4","Patrick Troughton, Tom Baker",14,2,"Serve big bad, power","The War Lords, The Deadly Assassin"
Mortimus ,1965,1966,1,William Hartnell ,16,2,Meddle with time,"The Time Meddler, The Daleks' Master Plan"
Forest Monster,2013,2013,11,Matt Smith,1,1,Find mate,Hide
Grandfather (Akhaten),2013,2013,11,Matt Smith,1,1,Feed off memories and feelings,The Rings of Akhaten
"KIslet, Miss",2013,2013,11,Matt Smith,1,1,Serve Big Bad/upload humans,The Bells of Saint John
Mrs Gillyflower,2013,2013,11,Matt Smith,1,1,Divine justice,The Crimson Horror
"Mummy, The",2013,2013,11,Matt Smith,1,1,Serve Big Bad,The Rings of Akhaten
Spoonheads,2013,2013,11,Matt Smith,1,1,Serve big bad,The Bells of Saint John
Time Zombie,2013,2013,11,Matt Smith,1,1,Hunt past selves,Journey to the centre of the Tardis
"Vigil, The",2013,2013,11,Matt Smith,1,1,Serve Big Bad,The Rings of Ahkaten 
"Dala, Dalek ""puppet""",2012,2012,11,Matt Smith,1,1,Serve big bad,Asylum of the Daleks
Dalek prime minister,2012,2012,11,Matt Smith,1,1,Protecting the Daleks,Asylum of the Daleks
Grayle,2012,2012,11,Matt Smith,1,1,Collect Weeping Angels,The Angels Take Manhattan
Shakri,2012,2012,11,Matt Smith,1,1,Destroy humans,The Power of Three
"Simeon, Dr",2012,2012,11,Matt Smith,1,1,Serve big bad,The Snowmen
"Snowmen, The",2012,2012,11,Matt Smith,1,1,Serve Big Bad,The Snowmen
Soloman,2012,2012,11,Matt Smith,1,1,Profit,Dinosaurs on a Spaceship
Soloman's robots (x2),2012,2012,11,Matt Smith,1,1,Serve big bad,Dinosaurs on a Spaceship
Gantok,2011,2011,11,Matt Smith,1,1,Serve big bad,The Wedding of River Song
Handbots,2011,2011,11,Matt Smith,1,1,Kill with kindness,The girl who waited
Headless Monks,2011,2011,11,Matt Smith,1,1,Serve big bad,A Good Man Goes to War
House,2011,2011,11,Matt Smith,1,1,"Absorb planets, TARDIS'",The Doctor's Wife
"Justice Department, The",2011,2011,11,Matt Smith,1,1,Kill the Doctor,Let's Kill Hitler
"Manton, Colonel",2011,2011,11,Matt Smith,1,1,Kill Doctor and companions,A Good Man Goes to War
"Minotaur, The",2011,2011,11,Matt Smith,1,1,Feed on beliefs,The God complex
Peg dolls,2011,2011,11,Matt Smith,1,1,Turn humans into dolls,Night terrors
"Pond, Melody (before redemption)",2011,2011,11,Matt Smith,1,1,Serve big bad,Let's Kill Hitler
Teselecta,2011,2011,11,Matt Smith,1,1,Serve big bad,Let's Kill Hitler
Teselecta antibodies,,2011,11,Matt Smith,1,1,Serve big bad,Let's Kill Hitler
"Alliance - onscreen - Daleks, Cybermen, Sontarans & Autons, (cameos Silurians, Sycorax, Judoon, Hoix, Roboforms, microcameos Blowfish, Uvodni, Weevils)",2010,2010,11,Matt Smith,1,1,Imprison the Doctor,The Pandorica Opens
Blowfish,2010,2010,11,Matt Smith,1,1,Imprison the Doctor,The Pandorica Opens (see Alliance above)
"Calvierri, Signora Rosanna",2010,2010,11,Matt Smith,1,1,reproduce,The Vampires of Venice
Carlo ,2010,2010,11,Matt Smith,1,1,Serve big bad,The Vampires of Venice
Dream Lord,2010,2010,11,Matt Smith,1,1,Defeat the Doctor,Amy's Choice
Eknodine,2010,2010,11,Matt Smith,1,1,"Control humans, survival",Amy's Choice
Francesco,2010,2010,11,Matt Smith,1,1,Serve big bad,The Vampires of Venice
Hawthorne,2010,2010,11,Matt Smith,1,1,Power,The Beast Below
Krafayis,2010,2010,11,Matt Smith,1,1,Hunt  ,Vincent and the Doctor
"Number 79B, Alckman Road",2010,2010,11,Matt Smith,1,1,Capture humans,The Lodger
Poggit (Mrs),2010,2010,11,Matt Smith,1,1,Serve big bad,Amy's Choice
Prisoner Zero,2010,2010,11,Matt Smith,1,1,Fugative,The Eleventh Hour
Restac,2010,2010,11,Matt Smith,1,1,World domination,Cold Blood
Saturnynians,2010,2010,11,Matt Smith,1,1,World domination,The Vampires of Venice
Smilers (Winders),2010,2010,11,Matt Smith,1,1,Serve big bad,The Beast Below
Uvodni,2010,2010,11,Matt Smith,1,1,Imprison the Doctor,The Pandorica Opens (see Alliance above)
Weevils,2010,2010,11,Matt Smith,1,1,Imprison the Doctor,The Pandorica Opens (see Alliance above)
Winder ,2010,2010,11,Matt Smith,1,1,Protect ,The Beast Below
Flood (the),2009,2009,10,David Tennant,1,1,Viral infection, The Waters of Mars
MacMillan (DI),2009,2009,10,David Tennant,1,1,Career,Planet of the Dead
Stingray,2009,2009,10,David Tennant,1,1,Self interest (food),Planet of the Dead
Swarm (Alien Stingray),2009,2009,10,David Tennant,1,1,Destroy all life,Planet of the Dead
Adipose Industries ,2008,2008,10,David Tennant,1,1,Control the World,Partners in Crime
"Cobb, General",2008,2008,10,David Tennant,1,1,War,The Doctor's Daughter
"Cofelia, Matron (Miss Foster)",2008,2008,10,David Tennant,1,1,reproducing,Partners in Crime
Cybershades,2008,2008,10,David Tennant,1,1,Serve big bad, The Next Doctor
"Dextrus, Lucias Petrus",2008,2008,10,David Tennant,1,1,Dominate the world,The Fires of Pompeii
Fortune Teller,2008,2008,10,David Tennant ,1,1,Manipulating the past,Turn Left
"Golightly, Arnold",2008,2008,10,David Tennant ,1,1,Kill humans,The Unicorn and the Wasp
"Halpen, Klineman",2008,2008,10,David Tennant,1,1,Kill an alien species,Planet of the Ood
"Hartigan, Mercy",2008,2008,10,David Tennant,1,1,Human dictatorship/enslavement,The Next Doctor
Hath,2008,2008,10,David Tennant,1,1,War,The Doctor's Daughter
Kess,2008,2008,10,David Tennant,1,1,Power,Planet of the Ood
Krillitane,2008,2008,10,David Tennant,1,1,Self interest,School Reunion
Midnight Entity,2008,2008,10,David Tennant,1,1,Survival,Midnight
Pyroviles,2008,2008,10,David Tennant,1,1,World domination,The Fires of Pompeii
Time Beetle,2008,2008,10,David Tennant,1,1,"Meddle with time, creating parallel universes",Turn Left
Unicorn (the),2008,2008,10,David Tennant,1,1,steal jewels,The Unicorn and the Wasp
Vespiforms,2008,2008,10,David Tennant,1,1,"Research, not in control of powers",The Unicorn and the Wasp
Bloodtide,2007,2007,10,David Tennant,1,1,Serve big bad,The Shakespeare Code
"Capricorn, Max",2007,2007,10,David Tennant,1,1,Bankrupt company,Voyage of the Damned
Carrionites,2007,2007,10,David Tennant,1,1,World domination,The Shakespeare Code
Diagoras (Mr),2007,2007,10,David Tennant,1,1,Run New York city,Daleks in Manhatten
Futurekind,2007,2007,10,David Tennant,1,1,Kill humans,Utopia
Hardaker,2007,2007,10,David Tennant,1,1,"Serve big bad, make money for family",Voyage of the Damned
Heavenly Host ,2007,2007,10,David Tennant,1,1,Serve big bad,Voyage of the Damned
"Lazarus, Professor Richard",2007,2007,10,David Tennant,1,1,Kill humans,The Lazarus Experiment
Lilith,2007,2007,10,David Tennant,1,1,Control Humans,The Shakespeare Code
Mysterious Man,2007,2007,10,David Tennant,1,1,Power/ serve big bad,The Hazarus Experiment
Plasmavores (Florence Finnegan),2007,2007,10,David Tennant,1,1,Drink blood,Smith and Jones
Slab,2007,2007,10,David Tennant,1,1,Serve big bad,Smith and Jones
Torajii System Sun,2007,2007,10,David Tennant,1,1,Posess crew members,42
Abzorbaloff (Victor Kennedy),2006,2006,10,David Tennant,1,1,Kill humans,Love and Monsters
Angelo,2006,2006,10,David Tennant ,1,1,Create new empire,Tooth and Claw
"Brethren (the), inc Father Angelo",2006,2006,10,David Tennant,1,1,Serve big bad,Tooth and Claw
"Catkind (Sisters of Plenitude), exc Novice Hame",2006,2006,10,David Tennant,1,1,Experiments on humans,New Earth
Chip,2006,2006,10,David Tennant,1,1,Serve big bad ,New Earth
Clockwork Repair Droids,2006,2006,10,David Tennant,1,1,"Take brain, repair ship",The Girl in the Fireplace
Corvin,2006,2006,10,David Tennant,1,1,Medical experiments,New Earth
Father Angelo,2006,2006,10,David Tennant,1,1,Kill humans,Tooth and Claw
"Finch, Mr (Lassar)",2006,2006,10,David Tennant,1,1,Kill humans,School Reunion
Host (the),2006,2006,10,David Tennant,1,1,Kill everything,Tooth and Claw
Isolus flowers (Scribble Monster),2006,2006,10,David Tennant,1,1,Self interest,Fear Her
Jackson (Mrs),2006,2006,10,David Tennant,1,1,Dominate the universe,School Reunion
Lupine Wavelength Haemovariform (werewolf),2006,2006,10,David Tennant,1,1,Kill everything,Tooth and Claw
Magpie (Mr),2006,2006,10,David Tennant ,1,1,Career,The Idiot's Lantern
"Racnoss, Empress of the",2006,2006,10,David Tennant,1,1,Kill humans,The Runaway Bride
Wagner,2006,2006,10,David Tennant,1,1,Control time and the universe,School Reunion
Wire (the),2006,2006,10,David Tennant,1,1,Erase thoughts,The Idiot's Lantern
Adherents of the Repeated Meme,2005,2005,9,Christopher Eccleston,1,1,Serve big bad,The End of the World
Automated Corpse,2005,2005,9,Christopher Eccleston,1,1,Serve big bad,The Long Game
"Charles, Oliver",2005,2005,9,Christopher Eccleston,1,1,Kill politician,Aliens of London
Davinadroid,2005,2005,9,Christopher Eccleston,1,1,Controll Humans,Bad Wolf   
Editor,2005,2005,9,Christopher Eccleston,1,1,Control Humans,The Long Game
Gelth (the)/Gelth Ambassador,2005,2005,9,Christopher Eccleston,1,1,World domination,The Unquiet Dead
Jagrafess,2005,2005,9,Christopher Eccleston,1,1,Control Humans,The Long Game
"James, Tennant",2005,2005,9,Christopher Eccleston,1,1,Power,World War Three 
"McAllister, Ewan",2005,2005,9,Christopher Eccleston,1,1,Serve big bad,World War Three 
Metal Spiders,2005,2005,9,Christopher Eccleston,1,1,Serve big bad,The End of the World
Reapers,2005,2005,9,Christopher Eccleston,1,1,Sterilise time disturbances, Father's Day
"Sneed, Gabriel",2005,2005,9,Christopher Eccleston,1,1,Self interest,The Unquiet Dead
Surgeons,2005,2005,9,Christopher Eccleston,1,1,Serve big bad,The End of the World
Trin-E,2005,2005,9,Christopher Eccleston,1,1,Serve big bad,Bad Wolf
"van Statten, Henry",2005,2005,9,Christopher Eccleston,1,1,Corruption,Dalek
Zu-Zana,2005,2005,9,Christopher Eccleston,1,1,Serve big bad,Bad Wolf
San Francisco street gang,1996,1996,"7,8","Sylvester McCoy, Paul McGann",1,1,Turf war (shoots doctor),Doctor Who (TV movie)
Raston Warrior Robot,1983,1983,"1,2,3,4,5","Richard Hurndall, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison",1,1,Kill everything,The Five Doctors
Red Carnivorous Maw,2009,2010,10,David Tennant,2,1,World domination,The End of Time
Alaya,2010,2010,11,Matt Smith,2,1,Capture humans,The Hungry Earth/Cold Blood
Angel Bob,2010,2010,11,Matt Smith,2,1,Kill humans,The Time of Angels/Flesh and Stone
"Naismith, Joshua",2009,2010,"10,11","David Tennant, Matt Smith",2,1,Immortality,The End of Time
"Gray, Steve",2008,2008,10,David Tennant,2,1,"Serve big bad, fight",The Sontaran Stratagem/The Poison Sky
"Harris, Private Carl",2008,2008,10,David Tennant,2,1,"Serve big bad, fight",The Sontaran Stratagem/The Poison Sky
Martha Jones- Clone,2008,2008,10,David Tennant,2,1,Serve big bad,The Sontaran Stratagem/The Poison Sky
"Rattigan, Luke",2008,2008,10,David Tennant,2,1,World domination,The Sontaran Stratagem/The Poison Sky
Staal,2008,2008,10,David Tennant,2,1,World domination,The Sontaran Stratagem/The Poison Sky
Vashta Nerada,2008,2008,10,David Tennant,2,1,Consume lifeforms,Silence in the Library/Forest of the Dead
Daughter of Mine,2007,2007,10,David Tennant,2,1,Infiltrate places,Human Nature/The Family of Blood
Family of Blood,2007,2007,10,David Tennant,2,1,Kill/take control of humans and the Doctor,Human Nature/The Family of Blood
Kaliko (swabb),2007,2007,10,David Tennant,2,1,"Steal oil, make money",The Infinite Quest 
Toclafane,2007,2007,10,David Tennant,2,1,Self interest,The Sound of the Drums/Last of the Time Lords
Beast (the),2006,2006,10,David Tennant,2,1,Satan Figure,The Impossible Planet/The Satan Pit
Crane (Mr),2006,2006,10,David Tennant,2,1,Serve big bad ,Raise of the Cybermen/The Age of Steel
"Hartman, Yvonne",2006,2006,10,David Tennant,2,1,Assist Cybermen,Army of Ghosts/Doomsday
"Lumic, John",2006,2006,10,David Tennant,2,1,"Immortality, medical experiments, kill humans",Rise of the Cybermen/The Age of Steel
Empty Child,2005,2005,9,Christopher Eccleston,2,1,Kill humans,The Empty Child/The Doctor Dances
"Green, Joseph",2005,2005,9,Christopher Eccleston,2,1,Cause World War Three,Aliens of London/World War Three
Borad,1985,1985,6,Colin Baker,2,1,Kill humans,Timelash
Karfelon androids,1985,1985,6,Colin Baker,2,1,Serve big bad,Timelash
Quillam,1985,1985,6,Colin Baker ,2,1,Experiments on humans,Vengeance on Varos
Tekker,1985,1985,6,Colin Baker,2,1,Serve big bad,Timelash
Dalek Duplicates,1984,1984,5,Peter Davison,2,1,Serve big bad,Ressurrection of the Daleks
"Hutchinson, Sir George",1984,1984,5,Peter Davison,2,1,Power,The Awakening
Malus,1984,1984,5,Peter Davison,2,1,Kill other alien species,The Awakening
"Cranleigh, George",1982,1982,5,Peter Davison,2,1,Kill humans,Black Orchid
Bennett (Koquillion),1965,1965,1,William Hartnell,2,1,Kill humans,The Rescue
Cheetah people,1989,1989,7,Sylvester McCoy,3,1,Serve big bad,Survival
Light,1989,1989,7,Sylvester McCoy,3,1,Destroy all life,Ghost Light
"Smith, Josiah Samuel (Survey)",1989,1989,7,Sylvester McCoy,3,1,Destroy all life,Ghost Light
De Flores,1988,1988,7,Sylvester McCoy,3,1,"Human dictatorship, establish fourth reich",Silver Nemisis
De Flores,1988,1988,7,Sylvester McCoy,3,1,Fascist stooge,Silver Nemesis
Happiness Patrol (the),1988,1988,7,Sylvester McCoy,3,1,Serve big bad,The Happiness Patrol
Helen A,1988,1988,7,Sylvester McCoy,3,1,Human dictatorship/enslavement,The Happiness Patrol
Kandyman,1988,1988,7,Sylvester McCoy,3,1,Dictatorship/enslavement,The Happiness Patrol
"Neo-Nazis, Windsor",1988,1988,7,Sylvester McCoy,3,1,Fascist stooge,Silver Nemesis
"Peinforte, Lady",1988,1988,7,Sylvester McCoy,3,1,Wanted ownership of a weapon,Silver Nemesis
Bannermen,1987,1987,7,Sylvester McCoy,3,1,World domination,Delta and the Bannermen
Kane,1987,1987,7,Sylvester McCoy,3,1,Kill another alien species,Dragon Fire
Chessene of the Franzine Grig,1985,1985,"2,6","Patrick Troughton, Peter Davison",3,1,Get a time machine,The Two Doctors
"Dastari, Joinson",1985,1985,"2,6","Patrick Troughton, Colin Baker",3,1,Medical experiments,The Two Doctors
Shockeye of the Quawncing Grig ,1985,1985,"2,6","Patrick Troughton, Colin Baker",3,1,Eat human flesh,The Two Doctors
Stike,1985,1985,"2,6","Patrick Troughton, Colin Baker",3,1,Make time machine,The Two Doctors
Varl,1985,1985,"2,6","Patrick Troughton, Colin Baker",3,1,Possess time travel,The Two Doctors
Varla,1967,1967,2,Patrick Troughton,3,1,Possess time travel,The Two Doctors
Forester,1964,1964,1,William Hartnell,3,1,Money,Planet of Giants
Chief Clown,1988,1989,7,Sylvester McCoy,4,1,Serve big bad,The Greatest Show in the Galaxy
Clown robots,1989,1989,7,Sylvester McCoy,4,1,Serve big bad,The Greatest Show in the Galaxy
Destroyer,1989,1989,7,Sylvester McCoy,4,1,Defeat the Doctor,Battlefield
Fenric,1989,1989,7,Sylvester McCoy,4,1,Control Humans,The Curse of Fenric
Gavrok,1989,1989,7,Sylvester McCoy,4,1,Kill another alien species,The Greatest Show in the Galaxy
Gods of Ragnarok,1989,1989,7,Sylvester McCoy,4,1,Kill alien species/enslavement,The Greatest Show in the Galaxy
Haemovores (inc Ancient One),1989,1989,7,Sylvester McCoy,4,1,Serve big bad,The Curse of Fenric
Ingiger,1989,1989,7,Sylvester McCoy,4,1,Control alien species,The Curse of Fenric
"Millington, Commander AH",1989,1989,7,Sylvester McCoy,4,1,Serve big bad,The Curse of Fenric
Mordred,1989,1989,7,Sylvester McCoy,4,1,Power,Battlefield
Morgaine,1989,1989,7,Sylvester McCoy,4,1,War,Battlefield
Association (the),1988,1988,7,Sylvester McCoy,4,1,Fascist stooge,Rememberance of the Daleks
"Ratcliffe, George",1988,1988,7,Sylvester McCoy,4,1,Ally with the Nazis,Rememberance of the Daleks
Chief Caretaker,1987,1987,7,Sylvester McCoy,4,1,Kill humans,Paradise Towers
Kroagnon,1987,1987,7,Sylvester McCoy,4,1,Kill humans,Paradise Towers
Robotic cleaners,1987,1987,7,Sylvester McCoy,4,1,Serve big bad,Paradise Towers
Robotic crab,1987,1987,7,Sylvester McCoy,4,1,Serve big bad,Paradise Towers
Tetrap,1987,1987,7,Sylvester McCoy,4,1,Control the Universe,Time and the Rani
